,SHY,IEF,TLT,TIP,LQD,HYG,MBB,BOND,AGG,MOVE,JAAA,BKLN,CMBS,SGOV,BIL,USFR
2020-09-23,75.27095794677734,105.12893676757812,137.50416564941406,101.74005889892578,109.0418472290039,60.94432830810547,92.91573333740234,89.24446105957031,99.512939453125,38.630001068115234,,15.162558555603027,46.69464874267578,84.36248016357422,77.33055877685547,42.132347106933594
2020-09-24,75.26222229003906,105.18067932128906,138.03082275390625,101.81267547607422,108.76660919189453,60.98100662231445,92.9241714477539,89.10932159423828,99.5213623046875,37.220001220703125,,15.155585289001465,46.6862678527832,84.36248016357422,77.33903503417969,42.132347106933594
2020-09-25,75.27095794677734,105.26689910888672,138.03082275390625,101.94977569580078,108.6532974243164,60.87094497680664,92.94942474365234,89.29217529296875,99.55509185791016,36.970001220703125,,15.113699913024902,46.65265655517578,84.36671447753906,77.33055877685547,42.132347106933594
2020-09-28,75.27963256835938,105.24964904785156,137.6378936767578,102.15945434570312,109.2037582397461,61.267208099365234,92.98313903808594,89.37169647216797,99.63938903808594,37.400001525878906,,15.169538497924805,46.66947555541992,84.36671447753906,77.33903503417969,42.115562438964844
2020-09-29,75.27095794677734,105.3272476196289,137.79678344726562,102.32881164550781,109.06611633300781,61.318580627441406,93.02527618408203,89.45120239257812,99.65621948242188,36.619998931884766,,15.162558555603027,46.63585662841797,84.36671447753906,77.33903503417969,42.115562438964844
2020-09-30,75.27963256835938,105.04269409179688,136.4759521484375,102.02237701416016,109.04991149902344,61.56806182861328,93.00840759277344,89.3875732421875,99.49609375,39.209999084472656,,15.17652416229248,46.63585662841797,84.36671447753906,77.33055877685547,42.115562438964844
2020-10-01,75.26221466064453,105.10224914550781,136.70108032226562,102.00377655029297,109.35338592529297,61.77957534790039,93.00080871582031,89.38758850097656,99.6328353881836,38.650001525878906,,15.169538497924805,46.4523811340332,84.36670684814453,77.33055877685547,42.14910888671875
2020-10-02,75.27092742919922,104.99866485595703,136.19058227539062,102.01994323730469,109.36962127685547,61.77957534790039,93.05145263671875,89.30793762207031,99.53157806396484,39.970001220703125,,15.17652416229248,46.789039611816406,84.36248779296875,77.33055877685547,42.115562438964844
2020-10-05,75.24481964111328,104.33428192138672,133.529541015625,101.71245574951172,109.00450134277344,62.243896484375,92.98394775390625,89.17247772216797,99.21070861816406,39.810001373291016,,15.23935604095459,46.50287628173828,84.37005615234375,77.33055877685547,42.132347106933594
2020-10-06,75.24481964111328,104.5759048461914,134.2491912841797,101.7286376953125,108.91529083251953,62.103858947753906,93.03459167480469,89.07685089111328,99.29515838623047,57.75,,15.211432456970215,46.6038932800293,84.36670684814453,77.33903503417969,42.115562438964844
2020-10-07,75.23612213134766,104.27392578125,133.2701416015625,101.72054290771484,108.94771575927734,62.32493209838867,93.06830596923828,89.15655517578125,99.22765350341797,56.97999954223633,,15.246338844299316,46.443965911865234,84.36670684814453,77.33055877685547,42.115562438964844
2020-10-08,75.23612213134766,104.46372985839844,133.9897918701172,102.12513732910156,109.2154769897461,62.4649772644043,93.0261459350586,89.02906799316406,99.354248046875,57.310001373291016,,15.246338844299316,46.4355583190918,84.36670684814453,77.33055877685547,42.132347106933594
2020-10-09,75.23612213134766,104.41195678710938,133.96466064453125,102.15748596191406,109.4669189453125,62.604949951171875,93.00080871582031,88.99723052978516,99.37956237792969,57.52000045776367,,15.246338844299316,46.36820983886719,84.36670684814453,77.33055877685547,42.132347106933594
2020-10-12,75.25353240966797,104.52411651611328,134.3915252685547,102.22222137451172,110.09974670410156,62.921897888183594,93.0852279663086,89.13262176513672,99.57376098632812,57.52000045776367,,15.288215637207031,46.477630615234375,84.36670684814453,77.33903503417969,42.115562438964844
2020-10-13,75.24481964111328,104.75709533691406,135.35377502441406,102.22222137451172,109.9942855834961,62.64183807373047,92.96707916259766,89.30793762207031,99.59910583496094,55.59000015258789,,15.218411445617676,46.48604202270508,84.36670684814453,77.33055877685547,42.132347106933594
2020-10-14,75.24481964111328,104.79159545898438,135.66342163085938,102.22222137451172,110.09974670410156,62.48708724975586,92.94178009033203,89.37162017822266,99.658203125,53.5,,15.23935604095459,46.57020950317383,84.36670684814453,77.33055877685547,42.132347106933594
2020-10-15,75.26221466064453,104.679443359375,135.42918395996094,102.18983459472656,109.9861831665039,62.44287109375,92.94178009033203,89.355712890625,99.57376098632812,55.619998931884766,,15.211432456970215,46.528133392333984,84.36670684814453,77.33055877685547,42.132347106933594
2020-10-16,75.25353240966797,104.61902618408203,135.05259704589844,102.2303237915039,109.79959106445312,62.36915969848633,93.0261459350586,89.33976745605469,99.52310180664062,57.25,,15.190488815307617,46.553382873535156,84.36670684814453,77.33903503417969,42.115562438964844
2020-10-19,75.25353240966797,104.44647216796875,134.5421142578125,101.98756408691406,109.58863830566406,62.14806365966797,92.98394775390625,89.24418640136719,99.40489959716797,61.15999984741211,39.4321174621582,15.218488693237305,46.78062438964844,84.36670684814453,77.33903503417969,42.09878921508789
2020-10-20,75.24481964111328,104.22216796875,133.26181030273438,101.8985595703125,109.36149597167969,62.36915969848633,92.9333267211914,89.0450210571289,99.32046508789062,60.41999816894531,39.40058517456055,15.239486694335938,46.70488739013672,84.36670684814453,77.33055877685547,42.132347106933594
2020-10-21,75.24481964111328,104.0841064453125,132.80157470703125,101.86619567871094,109.1829833984375,62.36181640625,93.01770782470703,89.01317596435547,99.2022705078125,59.06999969482422,39.40058517456055,15.204484939575195,46.528133392333984,84.36670684814453,77.33055877685547,42.132347106933594
2020-10-22,75.21868133544922,103.72168731689453,131.42079162597656,101.71245574951172,108.93958282470703,62.47236251831055,93.00080871582031,88.90161895751953,99.0250015258789,59.72999954223633,39.3927116394043,15.197492599487305,46.385032653808594,84.36670684814453,77.33903503417969,42.132347106933594
2020-10-23,75.2274169921875,103.86839294433594,132.22413635253906,101.83380889892578,109.2154769897461,62.546043395996094,93.00080871582031,89.052978515625,99.16853332519531,58.459999084472656,39.380882263183594,15.197492599487305,46.393463134765625,84.37092590332031,77.33903503417969,42.132347106933594
2020-10-26,75.23612213134766,104.14449310302734,133.45433044433594,101.91474914550781,109.44263458251953,61.99331283569336,93.0261459350586,89.0848388671875,99.30359649658203,58.95000076293945,39.37299728393555,15.14148235321045,46.40187454223633,84.37092590332031,77.33903503417969,42.115562438964844
2020-10-27,75.23612213134766,104.37743377685547,134.349609375,102.1170425415039,109.88882446289062,62.022804260253906,93.07676696777344,89.27605438232422,99.53157806396484,57.880001068115234,39.35329818725586,15.134483337402344,46.393463134765625,84.37092590332031,77.33055877685547,42.1340217590332
2020-10-28,75.23612213134766,104.36883544921875,134.47520446777344,101.98756408691406,109.3452377319336,61.50691604614258,93.0261459350586,89.20433044433594,99.38802337646484,57.130001068115234,39.29811477661133,15.078485488891602,46.511295318603516,84.37092590332031,77.33055877685547,42.1340217590332
2020-10-29,75.25353240966797,103.9287338256836,133.1697540283203,101.63963317871094,109.06128692626953,61.683799743652344,93.04302978515625,89.13262176513672,99.21070861816406,61.29999923706055,39.28233337402344,15.085484504699707,46.385032653808594,84.37092590332031,77.33903503417969,42.1340217590332
2020-10-30,75.24481964111328,103.59228515625,131.85595703125,101.33216094970703,108.49340057373047,61.816444396972656,93.07676696777344,88.80598449707031,98.94058227539062,61.90999984741211,39.27053451538086,15.0504789352417,46.32612228393555,84.37092590332031,77.33903503417969,42.1340217590332
2020-11-02,75.24393463134766,103.77010345458984,132.84359741210938,101.70366668701172,108.9186019897461,61.963722229003906,93.09454345703125,88.82196807861328,99.1198501586914,63.560001373291016,39.24687194824219,15.092485427856445,46.18442153930664,84.3751449584961,77.33903503417969,42.11723327636719
2020-11-03,75.22654724121094,103.5370101928711,132.0729217529297,101.62255096435547,109.02428436279297,62.49663543701172,93.06916046142578,88.9337387084961,99.07758331298828,64.37000274658203,39.2941780090332,15.14148235321045,46.30250930786133,84.37093353271484,77.33903503417969,42.1340217590332
2020-11-04,75.24393463134766,104.40902709960938,134.9377899169922,101.79289245605469,110.65849304199219,63.081356048583984,93.16217041015625,89.46065521240234,99.73714447021484,47.7400016784668,39.2941780090332,15.16248607635498,46.235050201416016,84.37093353271484,77.33055877685547,42.1340217590332
2020-11-05,75.22654724121094,104.39179992675781,135.17242431640625,101.87405395507812,111.07308197021484,63.303382873535156,93.19596862792969,89.4526596069336,99.8301773071289,43.7599983215332,39.38481140136719,15.232490539550781,46.2772102355957,84.37093353271484,77.33903503417969,42.1340217590332
2020-11-06,75.23522186279297,104.03778076171875,133.53890991210938,101.41165924072266,110.72349548339844,63.081356048583984,93.06916046142578,89.55644226074219,99.61028289794922,39.880001068115234,39.41634750366211,15.24649429321289,46.35312271118164,84.37093353271484,77.33055877685547,42.100486755371094
2020-11-09,75.2091064453125,103.26935577392578,130.73251342773438,101.11961364746094,109.88607788085938,63.56242370605469,92.95928192138672,89.0534896850586,99.14522552490234,44.939998626708984,39.44393539428711,15.414488792419434,46.06636428833008,84.3751449584961,77.33903503417969,42.11723327636719
